,title,lastrevid
4825936,Joseph Buttinger,1080982386.0
3946756,Prince Carl of Solms-Braunfels,1107215721.0
19949832,Count Wenzel Chotek of Chotkow and Wognin,1083654825.0
37015016,Citizens' Ministry,1071736555.0
42869603,Richard von Coudenhove-Kalergi,1108787206.0
5716768,Karl von Czyhlarz,1021127705.0
31313608,George Abraham von Dyhrn,1007538469.0
4197699,Hans Ferlitsch,941916920.0
38346616,Friedhelm Frischenschlager,1018809630.0
22981696,Anton Füster,1078570802.0
24472255,Julius Anton Glaser,1112473750.0
25145889,Walter Guggenberger,1112473762.0
46179557,Ulrich Habsburg-Lothringen,1112474612.0
63115789,Ernst Hampel (politician),1069436586.0
36885213,Franz von Hartig,1007537619.0
36079970,Hans Peter Haselsteiner,1112603346.0
7719777,Friedrich Wilhelm von Haugwitz,1112275892.0
2732436,Eduard Hedvicek,1115494542.0
15382153,Eduard Herbst,1007530580.0
70735542,Hermann Stern,1101206070.0
39588754,Jürgen Himmelbauer,969146003.0
32850726,Anton Hofer,1105446235.0
6149096,Andreas Hörtnagl,969145984.0
20006161,Franz Jetzinger,1086163096.0
901939,Konstantin Jireček,1100601439.0
4256918,Hugo Jury,1115504900.0
53231919,Maximilian Ulrich von Kaunitz,1087172023.0
32207173,Joseph Kenner,1112603390.0
39619941,Theodor Kery,1065573627.0
60026170,Michael Killisch-Horn,1106829544.0
4231920,Hubert Klausner,1111898436.0
68477408,Martin Kocher,1088269446.0
25798636,Józef Kożdoń,1112603867.0
63481720,Jožef Krajnc,1114850674.0
29043042,Hans Kudlich,1048166289.0
65497736,Gottfried von Kühnelt-Leddihn,1068422030.0
4301070,Hartmann Lauterbacher,1070877897.0
38776441,Otto Lecher,1033894166.0
42225075,Franz Leitner (politician),1010887552.0
8702718,Elmar Lichtenegger,1058620648.0
5529040,Julius Lippert (historian),1084061853.0
44960359,Karl Lütgendorf,1112474529.0
13125870,Jürgen Mandl,977059921.0
69330409,Renate Mann,1099978355.0
2503707,Ferdinand Mannlicher,1104118829.0
12993060,Christoph Matznetter,1105484317.0
30639133,Johann Gregor Memhardt,1112474313.0
60176601,Franz Moroder,1090940019.0
23445933,Heinz Nittel,1109478769.0
65342249,Brigitta Pallauf,1033512296.0
19746969,Wladimir von Pawlowski,1019694668.0
38482652,Johann Anton von Pergen,1061803495.0
4429902,Gerhard Pfanzelter,1106125275.0
24165403,Walter Pfrimer,1113533881.0
15381123,Ernst von Plener,1017745075.0
187247,Leopold Poetsch,1092446707.0
28636801,Thomas Prinzhorn,1112474168.0
24824975,Hermann von Ramberg,994058910.0
65788049,Heinrich Reschauer,1083947896.0
27135394,Horst Rosenkranz,1112603574.0
5612787,Emil Sax,1007521446.0
50536736,Karl Schmitzer,1089049732.0
772944,Georg Ritter von Schönerer,1114549144.0
42418604,"Georg Adam, Prince of Starhemberg",1102889087.0
49426725,Gundaker Thomas Starhemberg,1078907075.0
41832717,Josef Staribacher,1049705609.0
24166077,Richard Steidle,1112576338.0
16195728,Julius Tandler,1077100690.0
14600677,"Leopold, Count von Thun und Hohenstein",1096753974.0
22215392,Muzio Tommasini,1093955134.0
4999454,Karl Freiherr von Vogelsang,1016446506.0
28497472,Max Winter (politician),1112474387.0
749702,Anton von Winzor,1045934334.0
68435651,Gisela Wurm,1038160173.0
7919394,Alexander Zach,1056085498.0
19358024,Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,1111962495.0
28341664,Karl von Zinzendorf,1112603523.0
71057696,Muzamil Abdullayev,1107065506.0
66505277,Leyla Abdullayeva,1102138152.0
29360859,Elchin Afandiyev,1075526613.0
64212742,Fazail Agamali,1106843986.0
56737492,Fuad Alasgarov,1018398706.0
52593010,Anvar Alikhanov,1109309028.0
66499801,Tarlan Aliyarbayov,1112064160.0
10253465,Dilara Aliyeva,1109649588.0
62074177,Ali Asadov,1112134949.0
38404400,Akram Aylisli,1106344373.0
63784079,Sahil Babayev,1112800095.0
29447701,Huseyngulu Baghirov,1080007779.0
33052057,Alovsat Bakhshiyev,1090036474.0
69533108,Rafael Kamil Dzhabrailov,1100266382.0
67974826,Matin Eynullayev,1110146340.0
65319366,Vilayat Eyvazov,1109686454.0
9465756,Abdurrahman Fatalibeyli,1094730548.0
71089676,Fazail Ibrahimli,1096310851.0
13188885,Solomon Grobshtein,1067081975.0
52592892,Teymur Guliyev,1025325196.0
66066441,Mammad Gurbanov,1101536288.0
50559566,Asaf Hajiyev,1114198988.0
66711673,Farhad Hajiyev,1109686109.0
33064998,Jamil Hasanli,1091283791.0
29805797,Ali M. Hasanov,1104973679.0
70407426,Shakir Hasanov,1096145690.0
40963939,Zakir Hasanov,1110113628.0
63443500,Ali Huseynli,1090157253.0
44931890,Alisahib Huseynov,1080007304.0
52606271,Ali Ibrahimov,1067793317.0
52592974,Mammad Isgandarov,1029087103.0
36758770,Vidadi Isgandarov,1092547948.0
52050192,Ajdar Ismailov,1096490381.0
68359822,Saftar Jafarov,1045812028.0
3197492,Rovshan Javadov,1108873335.0
64997636,Anar Karimov,1109685880.0
20488566,Boris Kevorkov,1072772142.0
65640632,Gurban Khalilov,1094981152.0
57656422,Ahmad Kordary,1093750341.0
45628825,Ilham Madatov,1011331249.0
70572331,Musa Mammadov,1084134498.0
66923230,Ramin Mammadov,1115614823.0
63969137,Elshad Mirbashir oghlu,1084157904.0
66166950,Fuad Naghiyev,1081854289.0
30612315,Eldar Namazov,1087483504.0
59571031,Siyavush Novruzov,1114475460.0
52592948,Sadig Rahimov,1074822020.0
59439237,Suleyman Rahimov,1096039626.0
52592854,Huseyn Rahmanov,1106104383.0
52606355,Hasan Sayidov,1025325260.0
61498150,Parviz Shahbazov,1105103095.0
19551770,Mammad agha Shahtakhtinski,1080672703.0
29387873,Abid Sharifov,1096574448.0
4750890,Bakhtiyar Vahabzadeh,1114287934.0
53639087,Elmir Valiyev,1074732244.0
50497831,Nurali Yusifbayli,1019924574.0
64192552,Harold Christie,1083155826.0
38803441,Timothy Donaldson,1109457989.0
40897600,Joseph Robert Love,1084382477.0
66258739,Mohammed Isa Al Abbasi,1021088682.0
67065341,Abdullah bin Isa Al Khalifa,1011511102.0
65632666,Ahmed Behzad (Bahrain),1063482737.0
31018024,Kamal Ahmed (politician),1010461395.0
50373647,Mohamed Ali Hasan Ali,1006173162.0
65664158,Khalid Almoayed,1063486161.0
63913368,Aymen Tawfeeq Almoayed,1109935820.0
15959186,Nazar Al Baharna,1067620253.0
65766828,Mahmood Al Bahrani,1096789330.0
65751314,Ammar Al Bannai,1089564533.0
65056343,Jawad Fairooz,1088485834.0
65763676,Qasim Fakhro,1099067663.0
31017866,Faisal al-Hamar,1068897458.0
13522472,Nabeel bin Yaqub Al-Hamar,1096789114.0
46951527,Isa bin Abdulrahman Al Hammadi,1098344827.0
31017985,Jameel Humadan,1003695133.0
67069030,Isa bin Ibrahim Al Khalifa,1033132904.0
31017934,Fahmi al-Jowder,1068744646.0
65664370,Saud Kanoo,1098699647.0
45150982,Essam Khalaf,1006167519.0
20277831,Abdullah bin Hamad bin Isa Al Khalifa,1099004905.0
31017893,Ibrahim ibn Khalifa Al Khalifa,1107463771.0
55813166,Mai bint Mohammed Al Khalifa,1085733309.0
67049884,Khallfa bin Duaij Al Khalifa,1022106863.0
65663966,Hamad Al Kooheji,1096789043.0
39724369,Abdullatif Al-Mahmood,1072499529.0
65664273,Khalid Al Maskati,1096789192.0
31018072,Abdulhussain bin Ali Mirza,1106388662.0
66292306,Mohammed Al-Buainain,1063213013.0
56407254,Mohammed bin Khalifa bin Ahmed,1087144216.0
67069416,Mohammed bin Khalifa bin Ali Al Khalifa,1096789150.0
